date,day_of_week,month,item_name,time_slot,price,quantity_sold,inventory_level
2023-01-01,Sunday,1,Pizza,Lunch,350,182,419
2023-01-01,Sunday,1,Pizza,Dinner,350,206,393
2023-01-01,Sunday,1,Burger,Lunch,200,126,261
2023-01-01,Sunday,1,Burger,Dinner,200,163,237
2023-01-01,Sunday,1,Pasta,Lunch,300,125,301
2023-01-01,Sunday,1,Pasta,Dinner,300,153,218
2023-01-01,Sunday,1,Sandwich,Lunch,180,95,287
2023-01-01,Sunday,1,Sandwich,Dinner,180,110,403
2023-01-01,Sunday,1,Salad,Lunch,150,88,496
2023-01-01,Sunday,1,Salad,Dinner,150,84,433
2023-01-01,Sunday,1,Biryani,Lunch,250,189,452
2023-01-01,Sunday,1,Biryani,Dinner,250,234,471
2023-01-01,Sunday,1,Fried Rice,Lunch,220,133,221
2023-01-01,Sunday,1,Fried Rice,Dinner,220,166,268
2023-01-01,Sunday,1,Noodles,Lunch,210,121,350
2023-01-01,Sunday,1,Noodles,Dinner,210,139,237
2023-01-01,Sunday,1,Ice Cream,Lunch,120,90,293
2023-01-01,Sunday,1,Ice Cream,Dinner,120,86,492
2023-01-01,Sunday,1,Coffee,Lunch,100,149,389
2023-01-01,Sunday,1,Coffee,Dinner,100,171,206
2023-01-02,Monday,1,Pizza,Lunch,350,101,242
2023-01-02,Monday,1,Pizza,Dinner,350,142,226
2023-01-02,Monday,1,Burger,Lunch,200,89,303
2023-01-02,Monday,1,Burger,Dinner,200,133,429
2023-01-02,Monday,1,Pasta,Lunch,300,62,207
2023-01-02,Monday,1,Pasta,Dinner,300,81,390
2023-01-02,Monday,1,Sandwich,Lunch,180,74,441
2023-01-02,Monday,1,Sandwich,Dinner,180,97,410
2023-01-02,Monday,1,Salad,Lunch,150,58,272
2023-01-02,Monday,1,Salad,Dinner,150,63,460
2023-01-02,Monday,1,Biryani,Lunch,250,140,429
2023-01-02,Monday,1,Biryani,Dinner,250,172,270
2023-01-02,Monday,1,Fried Rice,Lunch,220,81,352
2023-01-02,Monday,1,Fried Rice,Dinner,220,90,414
2023-01-02,Monday,1,Noodles,Lunch,210,91,494
2023-01-02,Monday,1,Noodles,Dinner,210,102,484
2023-01-02,Monday,1,Ice Cream,Lunch,120,43,419
2023-01-02,Monday,1,Ice Cream,Dinner,120,62,484
2023-01-02,Monday,1,Coffee,Lunch,100,126,360
2023-01-02,Monday,1,Coffee,Dinner,100,134,333
2023-01-03,Tuesday,1,Pizza,Lunch,350,132,448
2023-01-03,Tuesday,1,Pizza,Dinner,350,144,325
2023-01-03,Tuesday,1,Burger,Lunch,200,92,462
2023-01-03,Tuesday,1,Burger,Dinner,200,114,310
2023-01-03,Tuesday,1,Pasta,Lunch,300,61,279
2023-01-03,Tuesday,1,Pasta,Dinner,300,96,294
2023-01-03,Tuesday,1,Sandwich,Lunch,180,82,338
2023-01-03,Tuesday,1,Sandwich,Dinner,180,86,289
2023-01-03,Tuesday,1,Salad,Lunch,150,45,444
2023-01-03,Tuesday,1,Salad,Dinner,150,64,418
2023-01-03,Tuesday,1,Biryani,Lunch,250,150,484
2023-01-03,Tuesday,1,Biryani,Dinner,250,157,218
2023-01-03,Tuesday,1,Fried Rice,Lunch,220,91,222
2023-01-03,Tuesday,1,Fried Rice,Dinner,220,104,227
2023-01-03,Tuesday,1,Noodles,Lunch,210,97,243
2023-01-03,Tuesday,1,Noodles,Dinner,210,103,257
2023-01-03,Tuesday,1,Ice Cream,Lunch,120,80,446
2023-01-03,Tuesday,1,Ice Cream,Dinner,120,66,484
2023-01-03,Tuesday,1,Coffee,Lunch,100,94,453
2023-01-03,Tuesday,1,Coffee,Dinner,100,141,356
2023-01-04,Wednesday,1,Pizza,Lunch,350,106,410
2023-01-04,Wednesday,1,Pizza,Dinner,350,158,498
2023-01-04,Wednesday,1,Burger,Lunch,200,86,330
2023-01-04,Wednesday,1,Burger,Dinner,200,107,480
2023-01-04,Wednesday,1,Pasta,Lunch,300,87,315
2023-01-04,Wednesday,1,Pasta,Dinner,300,87,480
2023-01-04,Wednesday,1,Sandwich,Lunch,180,85,230
2023-01-04,Wednesday,1,Sandwich,Dinner,180,90,245
2023-01-04,Wednesday,1,Salad,Lunch,150,53,433
2023-01-04,Wednesday,1,Salad,Dinner,150,64,405
